episode num = '0', episode_total_immediate_rewards = '21.7254702251', episode_total_reward = '21.7254702251', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '29', episode_total_immediate_rewards = '39.0088989151', episode_total_reward = '73.7793249457', current_state = '10000000001100000', actions_taken = '0,11,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '6.04061316612', episode_total_reward = '6.04061316612', current_state = '00101000000100000', actions_taken = '11,2,4', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '6.5550972514', episode_total_reward = '6.5550972514', current_state = '00100000001100000', actions_taken = '10,11,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '5.8844309015', episode_total_reward = '5.8844309015', current_state = '10001000000010000', actions_taken = '12,0,4', strategy = ['explore', 'explore', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '8.23931472245', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '6.86913662731', episode_total_reward = '6.86913662731', current_state = '00011000001000000', actions_taken = '3,4,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '6.2045069345', episode_total_reward = '6.2045069345', current_state = '00110000000010000', actions_taken = '2,12,3', strategy = ['explore', 'explore', 'explore'] 
episode num = '6', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '12.8768644667', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '7', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '8', episode_total_immediate_rewards = '7.6968683649', episode_total_reward = '12.0398395333', current_state = '10100000000100000', actions_taken = '0,11,2', strategy = ['exploit', 'explore', 'explore'] 
episode num = '9', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '10', episode_total_immediate_rewards = '7.4300570738', episode_total_reward = '14.7188140011', current_state = '10001000001000000', actions_taken = '0,10,4', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '11', episode_total_immediate_rewards = '6.2045069345', episode_total_reward = '10.4156266229', current_state = '00110000000010000', actions_taken = '2,12,3', strategy = ['explore', 'explore', 'exploit'] 
episode num = '12', episode_total_immediate_rewards = '6.04061316612', episode_total_reward = '10.0539998077', current_state = '00101000000100000', actions_taken = '11,2,4', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '13', episode_total_immediate_rewards = '6.38083987656', episode_total_reward = '13.6695968038', current_state = '10010000001000000', actions_taken = '0,10,3', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '14', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '15', episode_total_immediate_rewards = '6.98482822455', episode_total_reward = '13.0785909206', current_state = '10100000000010000', actions_taken = '2,12,0', strategy = ['explore', 'exploit', 'explore'] 
episode num = '16', episode_total_immediate_rewards = '7.6968683649', episode_total_reward = '14.4669513431', current_state = '10100000000100000', actions_taken = '0,11,2', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '7.4300570738', episode_total_reward = '14.7188140011', current_state = '10001000001000000', actions_taken = '0,10,4', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '18', episode_total_immediate_rewards = '6.82849844945', episode_total_reward = '11.1714696178', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '19', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '20', episode_total_immediate_rewards = '8.85876671163', episode_total_reward = '14.8181993489', current_state = '10100000000010000', actions_taken = '0,12,2', strategy = ['exploit', 'explore', 'explore'] 
episode num = '21', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '22', episode_total_immediate_rewards = '7.6968683649', episode_total_reward = '14.4669513431', current_state = '10100000000100000', actions_taken = '0,11,2', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '23', episode_total_immediate_rewards = '7.19293451955', episode_total_reward = '12.3879910541', current_state = '10100000000010000', actions_taken = '12,0,2', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '24', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '25', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '28', episode_total_immediate_rewards = '6.38121839547', episode_total_reward = '13.6699753228', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '29', episode_total_immediate_rewards = '8.23931472245', episode_total_reward = '15.5280716497', current_state = '10100000001000000', actions_taken = '0,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '8.25290376851', episode_total_reward = '8.25290376851', current_state = '11000000000100000', actions_taken = '1,0,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '6.14732309553', episode_total_reward = '6.14732309553', current_state = '00011000001000000', actions_taken = '3,10,4', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '5.64017916128', episode_total_reward = '8.8942710527', current_state = '01010000001000000', actions_taken = '3,10,1', strategy = ['exploit', 'explore', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '3.7653218193', episode_total_reward = '3.7653218193', current_state = '00101000000100000', actions_taken = '4,11,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '5.67177699183', episode_total_reward = '8.73992089043', current_state = '00011000000010000', actions_taken = '3,12,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '10.7063067349', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '6', episode_total_immediate_rewards = '6.08314330679', episode_total_reward = '11.0107671336', current_state = '00010000001010000', actions_taken = '3,10,12', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '7', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '11.7307553409', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '8', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '12.3209829176', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '9', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '12.8521877366', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '10', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '12.8521877366', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '5.70538150702', episode_total_reward = '5.70538150702', current_state = '10000000001100000', actions_taken = '11,10,0', strategy = ['explore', 'explore', 'explore'] 
episode num = '12', episode_total_immediate_rewards = '7.89135569851', episode_total_reward = '11.4907044161', current_state = '10010000001000000', actions_taken = '3,0,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '13', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '12.8521877366', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '12.8521877366', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '15', episode_total_immediate_rewards = '6.14732309553', episode_total_reward = '12.196379318', current_state = '00011000001000000', actions_taken = '3,10,4', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '16', episode_total_immediate_rewards = '5.67177699183', episode_total_reward = '10.4190993892', current_state = '00011000000010000', actions_taken = '3,12,4', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '12.8521877366', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '18', episode_total_immediate_rewards = '6.80313151404', episode_total_reward = '12.8521877366', current_state = '10010000001000000', actions_taken = '3,10,0', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '19', episode_total_immediate_rewards = '3.73250350034', episode_total_reward = '5.99233104525', current_state = '00001000000110000', actions_taken = '4,11,12', strategy = ['explore', 'exploit', 'explore'] 
episode num = '20', episode_total_immediate_rewards = '8.25290376851', episode_total_reward = '13.5508427022', current_state = '11000000000100000', actions_taken = '1,0,11', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '21', episode_total_immediate_rewards = '5.35198683628', episode_total_reward = '8.95133555388', current_state = '00111000000000000', actions_taken = '3,2,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '22', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '17.8805735903', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '23', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '21.1242908903', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '24', episode_total_immediate_rewards = '8.32439302604', episode_total_reward = '10.4659695042', current_state = '11001000000000000', actions_taken = '4,0,1', strategy = ['explore', 'explore', 'explore'] 
episode num = '25', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '21.1242908903', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '21.1242908903', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '21.1242908903', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '28', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '21.1242908903', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '29', episode_total_immediate_rewards = '10.7063067349', episode_total_reward = '21.1242908903', current_state = '10000000001010000', actions_taken = '0,12,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '6.88993191709', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '5.32698503003', episode_total_reward = '7.22789161462', current_state = '01001000000100000', actions_taken = '1,4,11', strategy = ['exploit', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '4.88338353233', episode_total_reward = '5.97580983786', current_state = '01001000000010000', actions_taken = '4,1,12', strategy = ['explore', 'explore', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '6.41377934528', episode_total_reward = '10.0727250521', current_state = '01010000001000000', actions_taken = '1,10,3', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '4', episode_total_immediate_rewards = '6.25508331015', episode_total_reward = '11.496264227', current_state = '01000000001010000', actions_taken = '1,10,12', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '6.62549627822', episode_total_reward = '10.1086380728', current_state = '11001000000000000', actions_taken = '1,0,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '6', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '7', episode_total_immediate_rewards = '6.60788589078', episode_total_reward = '11.6797184665', current_state = '11000000001000000', actions_taken = '1,0,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '8', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '9', episode_total_immediate_rewards = '5.54866399033', episode_total_reward = '5.54866399033', current_state = '00010000001010000', actions_taken = '12,3,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '10', episode_total_immediate_rewards = '5.54866399033', episode_total_reward = '9.25760081056', current_state = '00010000001010000', actions_taken = '12,3,10', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '12', episode_total_immediate_rewards = '5.36494448387', episode_total_reward = '8.84808627847', current_state = '01000000000110000', actions_taken = '1,12,11', strategy = ['exploit', 'explore', 'explore'] 
episode num = '13', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '15', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '16', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '18', episode_total_immediate_rewards = '6.2948016842', episode_total_reward = '11.7414047731', current_state = '01001000000010000', actions_taken = '1,4,12', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '19', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '20', episode_total_immediate_rewards = '6.41377934528', episode_total_reward = '11.6549602621', current_state = '01010000001000000', actions_taken = '1,10,3', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '21', episode_total_immediate_rewards = '6.34012928817', episode_total_reward = '11.581310205', current_state = '01000000001100000', actions_taken = '1,10,11', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '22', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '23', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '24', episode_total_immediate_rewards = '5.34305335335', episode_total_reward = '10.0325725414', current_state = '01000000001010000', actions_taken = '1,12,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '25', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '5.78202856573', episode_total_reward = '5.78202856573', current_state = '00011000000010000', actions_taken = '3,4,12', strategy = ['explore', 'explore', 'explore'] 
episode num = '28', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '29', episode_total_immediate_rewards = '6.88993191709', episode_total_reward = '12.1311128339', current_state = '01100000001000000', actions_taken = '1,10,2', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '5.79841234155', episode_total_reward = '5.79841234155', current_state = '11000000000100000', actions_taken = '1,11,0', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '7.02566518705', episode_total_reward = '7.02566518705', current_state = '01000000001100000', actions_taken = '11,10,1', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '4.3620423365', episode_total_reward = '4.3620423365', current_state = '00110000000010000', actions_taken = '2,3,12', strategy = ['explore', 'explore', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '5.75061914187', episode_total_reward = '7.20306040514', current_state = '01000000001100000', actions_taken = '10,11,1', strategy = ['explore', 'explore', 'exploit'] 
episode num = '4', episode_total_immediate_rewards = '6.96175889635', episode_total_reward = '10.7486561069', current_state = '00100000001100000', actions_taken = '11,10,2', strategy = ['exploit', 'explore', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '6.99087752184', episode_total_reward = '12.0849718693', current_state = '00001000001100000', actions_taken = '11,10,4', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '6', episode_total_immediate_rewards = '7.22901471549', episode_total_reward = '7.22901471549', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['explore', 'explore', 'explore'] 
episode num = '7', episode_total_immediate_rewards = '6.0238666331', episode_total_reward = '9.66551971731', current_state = '00100000000110000', actions_taken = '11,2,12', strategy = ['exploit', 'explore', 'explore'] 
episode num = '8', episode_total_immediate_rewards = '9.10571026763', episode_total_reward = '12.7473633518', current_state = '10000000000110000', actions_taken = '11,0,12', strategy = ['exploit', 'explore', 'explore'] 
episode num = '9', episode_total_immediate_rewards = '7.22901471549', episode_total_reward = '11.6026943551', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '10', episode_total_immediate_rewards = '7.02566518705', episode_total_reward = '12.1197595345', current_state = '01000000001100000', actions_taken = '11,10,1', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '7.02566518705', episode_total_reward = '12.1197595345', current_state = '01000000001100000', actions_taken = '11,10,1', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '12', episode_total_immediate_rewards = '5.52333254446', episode_total_reward = '10.5591467271', current_state = '00101000000100000', actions_taken = '11,2,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '13', episode_total_immediate_rewards = '7.02566518705', episode_total_reward = '12.1197595345', current_state = '01000000001100000', actions_taken = '11,10,1', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '5.75061914187', episode_total_reward = '10.8447134894', current_state = '01000000001100000', actions_taken = '10,11,1', strategy = ['explore', 'explore', 'exploit'] 
episode num = '15', episode_total_immediate_rewards = '7.02566518705', episode_total_reward = '12.1197595345', current_state = '01000000001100000', actions_taken = '11,10,1', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '16', episode_total_immediate_rewards = '7.22901471549', episode_total_reward = '13.4797304179', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '7.22901471549', episode_total_reward = '13.4797304179', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '18', episode_total_immediate_rewards = '7.22901471549', episode_total_reward = '13.4797304179', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '19', episode_total_immediate_rewards = '7.22901471549', episode_total_reward = '13.4797304179', current_state = '11000000001000000', actions_taken = '0,10,1', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '20', episode_total_immediate_rewards = '3.88697587103', episode_total_reward = '5.15883938142', current_state = '00111000000000000', actions_taken = '2,4,3', strategy = ['explore', 'explore', 'explore'] 
episode num = '21', episode_total_immediate_rewards = '7.30634017099', episode_total_reward = '7.30634017099', current_state = '10010000000100000', actions_taken = '3,0,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '22', episode_total_immediate_rewards = '5.79841234155', episode_total_reward = '9.59781905293', current_state = '11000000000100000', actions_taken = '1,11,0', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '23', episode_total_immediate_rewards = '7.42839302113', episode_total_reward = '15.1124109481', current_state = '10010000000100000', actions_taken = '0,11,3', strategy = ['exploit', 'explore', 'explore'] 
episode num = '24', episode_total_immediate_rewards = '7.32681805178', episode_total_reward = '15.0469462314', current_state = '10010000000100000', actions_taken = '0,3,11', strategy = ['exploit', 'explore', 'explore'] 
episode num = '25', episode_total_immediate_rewards = '8.6570793193', episode_total_reward = '17.4830251673', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '8.6570793193', episode_total_reward = '17.4830251673', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '8.6570793193', episode_total_reward = '17.4830251673', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '28', episode_total_immediate_rewards = '8.6570793193', episode_total_reward = '17.4830251673', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '29', episode_total_immediate_rewards = '8.6570793193', episode_total_reward = '17.4830251673', current_state = '10000000000110000', actions_taken = '0,11,12', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '0', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '10.9319342396', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '1', episode_total_immediate_rewards = '4.46176825251', episode_total_reward = '4.46176825251', current_state = '00001000000110000', actions_taken = '12,4,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '2', episode_total_immediate_rewards = '7.46382988527', episode_total_reward = '10.457592879', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '3', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '17.102021337', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '4', episode_total_immediate_rewards = '7.11318553025', episode_total_reward = '12.9656402173', current_state = '11000000001000000', actions_taken = '0,1,10', strategy = ['exploit', 'explore', 'explore'] 
episode num = '5', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '6', episode_total_immediate_rewards = '8.71351391259', episode_total_reward = '17.7422927033', current_state = '10101000000000000', actions_taken = '0,2,4', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '7', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '8', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '9', episode_total_immediate_rewards = '4.80150225923', episode_total_reward = '6.30445832332', current_state = '00001000000110000', actions_taken = '4,12,11', strategy = ['explore', 'explore', 'explore'] 
episode num = '10', episode_total_immediate_rewards = '7.46382988527', episode_total_reward = '14.4150191841', current_state = '10001000001000000', actions_taken = '0,4,10', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '11', episode_total_immediate_rewards = '8.85191922118', episode_total_reward = '17.8806980119', current_state = '10110000000000000', actions_taken = '0,2,3', strategy = ['exploit', 'exploit', 'explore'] 
episode num = '12', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '13', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '14', episode_total_immediate_rewards = '7.66592809623', episode_total_reward = '13.5183827833', current_state = '10001000000010000', actions_taken = '0,12,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '15', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '16', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '17', episode_total_immediate_rewards = '4.54521735125', episode_total_reward = '4.54521735125', current_state = '01010000000010000', actions_taken = '1,12,3', strategy = ['explore', 'explore', 'explore'] 
episode num = '18', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '19', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '20', episode_total_immediate_rewards = '5.12947593298', episode_total_reward = '5.12947593298', current_state = '00000000001110000', actions_taken = '11,12,10', strategy = ['explore', 'explore', 'explore'] 
episode num = '21', episode_total_immediate_rewards = '6.6852466075', episode_total_reward = '12.5377012945', current_state = '10011000000000000', actions_taken = '0,3,4', strategy = ['exploit', 'explore', 'explore'] 
episode num = '22', episode_total_immediate_rewards = '7.11318553025', episode_total_reward = '14.3229951127', current_state = '11000000001000000', actions_taken = '0,1,10', strategy = ['exploit', 'explore', 'exploit'] 
episode num = '23', episode_total_immediate_rewards = '4.77914543044', episode_total_reward = '6.34892993914', current_state = '01100000000100000', actions_taken = '11,2,1', strategy = ['explore', 'explore', 'explore'] 
episode num = '24', episode_total_immediate_rewards = '4.54521735125', episode_total_reward = '7.29804177315', current_state = '01010000000010000', actions_taken = '1,12,3', strategy = ['explore', 'exploit', 'exploit'] 
episode num = '25', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '26', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
episode num = '27', episode_total_immediate_rewards = '10.9319342396', episode_total_reward = '19.9607130303', current_state = '10100000001000000', actions_taken = '0,2,10', strategy = ['exploit', 'exploit', 'exploit'] 
